,Company_Name,Dependent-Company Status,year of founding,Age of company in years,Internet Activity Score,Short Description of company profile,Industry of company,Focus functions of company,Investors,Employee Count,Employees count MoM change,Has the team size grown,Est. Founding Date,Last Funding Date,Last Funding Amount,Country of company,Continent of company,Number of Investors in Seed,Number of Investors in Angel and or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Team size all employees,Presence of a top angel or venture fund in previous round of investment,Number of of repeat investors,Number of  Sales Support material,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Have been part of successful startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Catering to product/service across verticals,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Subscription based business,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,"Capital intensive business e.g. e-commerce, Engineering products and operations can also cause a business to be capital intensive",Number of  of Partners of company,Crowdsourcing based business,Crowdfunding based business,Machine Learning based business,Predictive Analytics business,Speech analytics business,Prescriptive analytics business,Big Data Business,Cross-Channel Analytics/ marketing channels,Owns data or not? (monetization of data) e.g. Factual,Is the company an aggregator/market place? e.g. Bluekai,Online or offline venture - physical location based business or online venture?,B2C or B2B venture?,Top forums like 'Tech crunch' or 'Venture beat' talking about the company/model - How much is it being talked about?,Average Years of experience for founder and co founder,Exposure across the globe,Breadth of experience across verticals,Highest education,Years of education,Specialization of highest education,Relevance of education to venture,Relevance of experience to venture,Degree from a Tier 1 or Tier 2 university?,Renowned in professional circle,Experience in selling and building products,Experience in Fortune 100 organizations,Experience in Fortune 500 organizations,Experience in Fortune 1000 organizations,Top management similarity,Number of Recognitions for Founders and Co-founders,Number of  of Research publications,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Hyper localisation,Time to market service or product,Employee benefits and salary structures,Long term relationship with other founders,Proprietary or patent position (competitive position),Barriers of entry for the competitors,Company awards,Controversial history of founder or co founder,Legal risk and intellectual property,Client Reputation,google page rank of company website,Technical proficiencies to analyse and interpret unstructured data,Solutions offered,Invested through global incubation competitions?,Industry trend in investing,Disruptiveness of technology,Number of Direct competitors,Employees per year of company existence,Last round of funding received (in milionUSD),"Survival through recession, based on existence of the company through recession times",Time to 1st investment (in months),"Avg time to investment - average across all rounds, measured from previous investment",Gartner hype cycle stage,Time to maturity of technology (in years),Percent_skill_Entrepreneurship,Percent_skill_Operations,Percent_skill_Engineering,Percent_skill_Marketing,Percent_skill_Leadership,Percent_skill_Data Science,Percent_skill_Business Strategy,Percent_skill_Product Management,Percent_skill_Sales,Percent_skill_Domain,Percent_skill_Law,Percent_skill_Consulting,Percent_skill_Finance,Percent_skill_Investment,Renown score
17,Company18,Success,2009,5,471,Marketing Intelligence Platform,Marketing,Marketing & Sales,Sequoia Capital|Giza Venture Capital|Adams Street Partners,52,-4,No,6/1/2009,10/17/2013,10000000,United States,North America,0,0,3,0,8,50,No,2,low,No,Small,No,No,No,No,Both,Yes,Both,Yes,Both,No,Platform,Global,Non-Linear,No,Few,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Online,B2B,Medium,High,Yes,Medium,Masters,21,Communication,Yes,Yes,Tier_2,500,High,0,0,0,Low,0,Few,4.5,High,Medium,Yes,No,Low,Good,No Info,Yes,Yes,No,No,No,High,276491,Yes,Yes,No,4,High,0,12.5,10,Not Applicable,30,12.61666667,Trough,2 to 5,20,0,20,0,40,0,20,0,0,0,0,0,0,0,0
19,Company20,Success,2010,4,60,In-Store Mobile Commerce,Advertising|Retail|Mobile,"Marketing 
sales",Innovation Endeavors|Metamorphic Ventures|Motorola Solutions Venture Capital|Christian Dahlen,5,0,No,4/1/2010,11/23/2012,749999,United States,North America,0,6,2,0,4,50,No,0,low,No,Small,Yes,Yes,No,No,Product,No,Private,Yes,Both,No,Cloud,Local,Non-Linear,No Info,None,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,No,Low,Bachelors,18,Electrical Engineering,No,Yes,Tier_1,500,High,0,0,0,None,0,None,0,High,High,No,No,High,No Info,No,No,Yes,No,No,No,No Info,2461569,No,Yes,No,4,High,4,16.6,0.749999,Not Applicable,20,5.455555556,Trigger,2 to 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
22,Company23,Success,2012,2,245,Marketing intelligence solutions,Analytics,Marketing,Accel Partners|Lightspeed Venture Partners|Elad Gil|Jafco Ventures,32,3,Yes,1/1/2012,1/29/2014,15000000,United States,North America,0,0,3,8,3,33,Yes,2,high,Yes,Medium,Yes,Yes,No,No,Service,Yes,Private,Yes,Structured,No,Platform,Global,Non-Linear,No,No Info,No,No,No,No,No,No,Yes,Yes,No,No,Offline,B2B,High,High,Yes,Medium,Masters,21,Computer Science,Yes,Yes,Tier_2,500,Low,1,1,1,High,58,None,17,High,Medium,No,Yes,Low,Bad,Yes,No,No,Yes,No,No,High,761788,No,No,No,3,Medium,0,33,15,Not Applicable,10,7.366666667,Peak,2 to 5,8.088235294,0,17.89215686,1.960784314,2.083333333,8.088235294,14.21568627,4.044117647,4.044117647,4.166666667,0,0,0,2.083333333,9
24,Company25,Success,2012,2,373,Smart Data for Better Places,Mobile|Retail,Community Betterment,TechStars|MI Ventures LLC|NEA Venture Capital|TriplePoint Capital|Kima Ventures|Correlation Ventures|Scrum Ventures,3,0,Yes,3/1/2012,11/1/2013,1700000,United States,North America,1,0,2,0,2,3,No,0,medium,No,Small,Yes,Yes,No,No,Service,Yes,Public,No,Both,Yes,Platform,Local,Linear,Yes,No Info,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Online,B2C,High,High,Yes,Medium,PhD,25,Image Processing,Yes,Yes,None,500,Low,0,0,0,High,81,Many,40,Low,Low,No,Yes,Medium,Bad,Yes,Yes,Yes,No,No,No,High,642250,Yes,No,No,3,High,5,3,1.7,Not Applicable,14,3.55,Peak,2 to 5,11.4379085,0,20.58823529,11.11111111,2.941176471,5.718954248,25.65359477,2.777777778,11.2745098,2.777777778,0,0,0,5.718954248,3
25,Company26,Success,2011,3,61,White Label Web Analytics,Analytics,Web Analytics,Bogusia Riebandt|Peter Emonds|A Squared Capital Partners,5,0,Yes,6/1/2011,8/1/2011,250000,United States,North America,3,0,2,1,3,5,No,0,Nothing,No,Small,Yes,Yes,No,No,Service,Yes,Private,Yes,Structured,Yes,Platform,Global,Non-Linear,No,No Info,No,No,No,No,No,No,Yes,Yes,No,No,Online,B2B,High,High,Yes,Medium,Masters,21,Electrical Engineering,No,No,None,500,Low,0,0,0,Medium,24,Many,14,Low,Low,No,No,Low,Bad,No,No,No,No,No,No,No Info,3799200,Yes,No,No,2,Low,3,2.5,0.25,Not Applicable,1,6.111111111,Plateau,0 to 2,15.38461538,0,0,46.15384615,0,7.692307692,7.692307692,0,7.692307692,15.38461538,0,0,0,0,0
26,Company27,Success,2009,5,155,Investing tools made simple,Analytics|Finance,Strategy,Long Light Capital|Continuity Capital,5,0,Yes,1/1/2009,12/12/2013,1400000,United States,North America,0,0,3,0,3,6,No,0,low,No,Medium,No,No,Yes,No,Service,Yes,Private,No,Unstructured,No,Platform,Global,Non-Linear,No,No Info,No,No,No,No,No,No,No,No,Yes,Yes,Online,B2B,None,Medium,No,Low,Bachelors,18,Arts,No,No,Both,307,Low,1,1,1,Medium,67,Many,0,Low,Low,No,No,Medium,Good,No,Yes,Yes,Yes,No,No,High,2497831,No,No,Yes,4,High,0,1.5,1.4,Not Applicable,48,48,Trough,2 to 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Company29,Success,2007,7,11,Real-time in-store analytics,Analytics,Strategy,StarVest Partners|August Capital|Nokia Growth Partners|Commerce Ventures,3,1,yes,11/1/2007,4/30/2013,15000000,United States,North America,0,0,2,8,10,110,Yes,2,high,No,Medium,No,No,No,No,Service,No,Private,No,Structured,No,Platform,Local,Linear,Yes,No Info,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Online,B2B,Low,High,No,Medium,Bachelors,18,Arts,No,Yes,None,500,Medium,1,1,1,Medium,71,Few,18,High,High,Yes,Yes,Medium,Good,Yes,Yes,Yes,Yes,No,Yes,High,296645,No,No,Yes,4,High,0,18.3,15,Yes,36,13.62222222,Trigger,5 to 10,5.555555556,5.555555556,16.66666667,5.555555556,5.555555556,5.555555556,22.22222222,5.555555556,22.22222222,5.555555556,0,0,0,0,1
29,Company30,Success,2012,2,281,Real-time error tracking,Software Development,Bug fix,Resolute.vc|Hiten Shah|Arjun Sethi|Founders Den,3,0,No,5/1/2012,4/1/2013,200000,United States,North America,3,0,2,0,2,3,No,0,medium,No,Small,No,No,No,No,Service,No,Private,No,Both,No,Platform,Global,Non-Linear,No,No Info,Yes,No,No,No,No,No,No,No,Yes,No,Online,B2C,Low,Medium,No,Medium,Bachelors,18,"Management, Computer Science",Yes,Yes,Both,350,Low,0,0,0,High,79,Few,17,Low,Low,No,No,Low,Bad,Yes,No,No,No,No,No,No Info,155498,No,Yes,No,2,Low,5,3,0.2,Not Applicable,6,3,Trough,2 to 5,0,0,80.20833333,4.166666667,0,4.166666667,11.45833333,0,0,0,0,0,0,0,5
32,Company33,Success,2010,4,983,Social Media Analytics and Reporting,Analytics,Analytics,MHS Capital|Social Leverage|Vast Ventures|Bessemer Venture Partners|Founder's Co-op|Mark Sugarman|Trinity Ventures,115,6,yes,1/1/2010,3/18/2014,20000000,United States,North America,2,3,3,2,5,132,Yes,3,high,No,Small,No,No,No,No,Product,Yes,Both,No,Both,Yes,Platform,Global,Non-Linear,No,No Info,No,No,No,Yes,No,Yes,Yes,No,No,No,Online,B2B,Low,Medium,No,Medium,Bachelors,18,Economics,No,No,Tier_2,470,Medium,0,0,0,High,63,Few,31,High,High,Yes,No,Low,Good,Yes,Yes,No,Yes,No,No,High,9355,No,No,Yes,4,High,0,44,20,Not Applicable,1,12,Trigger,2 to 5,12.5,0,6.25,50,0,18.75,6.25,0,6.25,0,0,0,0,0,1
33,Company34,Success,2011,3,68,Social Media ROI Measurment,Advertising,Social Media optimization,Vaidya Capital Partners|[212]Media,9,13,yes,11/1/2011,1/1/2013,2000000,United States,North America,No Info,No Info,3,0,4,8,No,0,Nothing,No,Medium,Yes,No,No,No,Service,Yes,Both,No,Both,Yes,Platform,Global,Non-Linear,No,No Info,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Online,B2B,None,Medium,No,Low,Bachelors,18,"Honors Program, Business, Finance, Information ",Yes,Yes,None,500,Low,0,0,0,Medium,116,Few,14,Low,Low,No,No,Medium,Bad,No,No,No,No,No,No,No Info,1024425,No,No,No,2,Low,0,4,2,Not Applicable,14,No Info,Plateau,0 to 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
36,Company37,Success,2012,2,140,Secure NoSQL Database,Analytics|Security|Network / Hosting / Infrastructure,Database Management,Matrix Partners|Atlas Venture,26,13,yes,8/1/2012,10/21/2013,5200000,United States,North America,0,0,4,4,4,30,Yes,2,high,No,Medium,No,No,No,No,Service,Yes,Private,Yes,Structured,No,Platform,Global,Linear,Yes,None,No,No,No,No,No,No,Yes,No,No,No,Offline,B2B,Low,High,Yes,Medium,Bachelors,18,bseet,Yes,Yes,Tier_2,500,None,0,0,0,None,0,None,21,Medium,High,No,No,Medium,No Info,No,No,Yes,No,No,No,No Info,912860,No,Yes,No,4,Medium,0,30,5.2,Not Applicable,1,7.116666667,Peak,2 to 5,11.11111111,11.11111111,30.55555556,0,8.333333333,2.777777778,11.11111111,8.333333333,11.11111111,2.777777778,0,0,0,2.777777778,3
37,Company38,Success,2012,2,46,SaaS Job Marketing Platform,Human Resources (HR)|Marketing|Career / Job Search,operations,TechColumbus|Founders Factory,6,20,Yes,2/1/2012,8/7/2012,70000,United States,North America,4,0,2,3,2,4,No Info,1,low,No,Small,Yes,Yes,No,No,Product,Yes,Private,Yes,Structured,Yes,Platform,global,Non-Linear,No,Few,No,No,No,No,No,Yes,No,Yes,No,No,Online,B2B,Low,Medium,No,Low,Masters,21,Business management,Yes,Yes,None,500,None,0,0,0,High,7,None,19,Low,Medium,No,No,High,No Info,Yes,Yes,Yes,No,No,Yes,High,2439989,No,Yes,Yes,4,High,0,4,0.07,Not Applicable,No Info,1,Peak,2 to 5,11.76470588,2.941176471,11.76470588,8.823529412,0,2.941176471,2.941176471,0,2.941176471,2.941176471,0,0,0,2.941176471,4
38,Company39,Success,2010,4,33,Health Care Analytics,Cloud Computing|Healthcare|E-Commerce,technology,Allan Zeise|Thomas Shannon|Allen Zeise|Wisconsin Investment Partners|Silicon Pastures|Thomas Vincent|Ross Bjella|David Lisle|Ed Karrels|Jeff Harris|Tom DeMell|Thomas DeMell|Jeffery Harris|Michael Kluiber|Peter Skanaivs|Andy Wojack|Crista Wojack|Eric Kessenich|John Schmidt|Angels on the Water,13,0,yes,6/4/2010,3/29/2013,1000000,United States,North America,24,0,2,0,4,10,No Info,4,low,No,Medium,No,No,No,No,Service,No,Private,Yes,Structured,Yes,Platform,local,Non-Linear,No,None,No,No,No,No,No,Yes,Yes,No,No,No,Online,B2B,Low,High,No,Medium,Bachelors,18,arts,No,Yes,None,500,None,0,0,0,None,1,None,13,Low,High,No,No,Medium,No Info,No,No,No,No,No,No,Low,3792883,No,Yes,No,4,High,3,3.3,1,Not Applicable,4,9.822222222,Plateau,0 to 2,7.142857143,14.28571429,7.142857143,0,7.142857143,0,14.28571429,7.142857143,14.28571429,14.28571429,0,0,7.142857143,7.142857143,0
39,Company40,Success,2010,4,56,Shaking Up Publishing,Media|Analytics|Publishing|Mobile|Education,Analytics,EA Media Syndicate I LLC|Glen Surnamer|Jeff Schweiger,7,0,No,10/1/2010,10/23/2012,450000,United States,North America,3,0,5,0,5,10,No,0,medium,Yes,Small,No,No,No,No,Service,Yes,Public,Yes,Structured,Yes,Platform,Global,Non-Linear,No,None,No,No,No,Yes,No,No,No,No,No,No,Online,B2B,Low,Medium,Yes,Medium,Bachelors,18,electrical,Yes,Yes,None,500,Medium,1,1,0,None,245,None,13,Medium,Medium,Yes,No,Low,Average,No,No,No,No,No,No,Low,4518529,Yes,Yes,No,3,High,3,2,0.45,Not Applicable,12,14,Slope,2 to 5,8.225957049,3.333333333,5.93837535,39.37791783,10.52170868,4.761904762,11.83706816,1.111111111,3.333333333,4.892623716,0,1.111111111,4.444444444,1.111111111,5
51,Company52,Success,2009,5,-129,Customer Data-Powered Marketing,E-Commerce|Advertising|Analytics,Marketing,SV Angel|Harrison Metal Capital|Baseline Ventures|Greylock Partners|Dick Costolo|Reid Hoffman|Jeff Jordan|Harrison Metal|Bain Capital Ventures,50,0,yes,7/1/2009,6/13/2011,13000000,United States,North America,0,0,2,2,4,55,Yes,3,medium,Yes,Large,Yes,Yes,No,No,Both,No,Private,Yes,Structured,No,Platform,Global,Non-Linear,No,None,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Offline,B2B,Medium,High,Yes,Medium,Bachelors,18,economics,Yes,Yes,Tier_1,500,Medium,1,1,1,None,0,None,14,Low,Medium,Yes,No,Low,No Info,No,No,Yes,No,No,No,High,169460,Yes,Yes,No,4,High,0,13.75,13,Not Applicable,1,7.733333333,Trough,2 to 5,22.22222222,0,0,22.22222222,0,11.11111111,22.22222222,11.11111111,0,11.11111111,0,0,0,0,0
57,Company58,Success,2012,2,272,Know and Grow Your Audience,Analytics|Advertising|Cloud Computing|Marketing,marketing,Square 1 Bank|High Line Venture Partners|SV Angel|Allen Debevoise|Matt Coffin|Paul Bricault|Jonah Goodhart|Dean Gilbert|Tony Nethercutt|FirstMark Capital|Ben Ling|Lerer Ventures,24,0,No,4/17/2012,6/25/2013,1000000,United States,North America,1,0,2,2,4,15,No,0,medium,Yes,Small,Yes,Yes,No,Yes,Product,No,Both,Yes,Unstructured,No,Platform,global,Linear,Yes,None,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Medium,High,Yes,Low,Masters,21,general mangement,Yes,Yes,Tier_1,500,Medium,0,0,0,None,0,None,25,Medium,Medium,Yes,No,Low,No Info,No,No,Yes,No,No,No,Medium,282991,Yes,Yes,No,3,High,0,15,1,Not Applicable,7,4.716666667,Plateau,0 to 2,11.11111111,0,0,44.44444444,11.11111111,5.555555556,11.11111111,5.555555556,5.555555556,0,0,0,0,5.555555556,0
